make -C bluesim --no-print-directory run
LD_PRELOAD=libSegFault.so SEGFAULT_USE_ALTSTACK=1 SEGFAULT_OUTPUT_NAME=bin/bsimexe-segv-output.txt  ./bin/ubuntu.exe ; retcode=$?; exit $retcode
Start testbench:
XsimTop starting
Request 00000d0c 000ad370
Request 00000d10 0001178d
Request 00000d14 0006bad0
Request 00000d18 00007146
Request 00000d1c 0000cc7c
Request 00000d20 00026118
Request 00000d24 000e5dd8
Request 00000d28 00003776
Request 00000d2c 00034ee0
Request 00000d30 000510a9
Request 00000d34 000799e8
Request 00000d38 0005ce10
Request 00000d3c 0007bb3c
Request 00000d40 0004c31c
Request 00000d44 0002fb50
Request 00000d48 0001e6b5
Request 00000d4c 0001a80e
Request 00000d50 0007c99f
Request 00000d54 00024ea8
Request 00000d58 000b71b8
Request 00000d5c 000126a9
Request 00000d60 000b0883
Request 00000d64 00033be0
Request 00000d68 0003d527
Request 00000d6c 0001f730
Request 00000d70 00000000
Request 00000d74 00000000
Request 00000d78 00000000
Request 00000d7c 00000000
Request 00000d80 deadbeef
Request 00000d84 deadbeef
Request 00000d88 deadbeef
Request 00000d8c deadbeef
Request 00000d90 deadbeef
Request 00000d94 deadbeef
Request 00000d98 deadbeef
Request 00000d9c deadbeef
Request 00000da0 deadbeef
Request 00000da4 deadbeef
Request 00000da8 deadbeef
Request 00000dac deadbeef
Request 00000db0 deadbeef
Request 00000db4 deadbeef
Request 00000db8 deadbeef
Request 00000dbc deadbeef
Request 00000dc0 deadbeef
Request 00000dc4 deadbeef
Request 00000dc8 deadbeef
Request 00000dcc deadbeef
Request 00000dd0 deadbeef
Request 00000dd4 deadbeef
Request 00000dd8 deadbeef
Request 00000ddc deadbeef
Request 00000de0 deadbeef
Request 00000de4 deadbeef
Request 00000de8 deadbeef
Request 00000dec deadbeef
Request 00000df0 deadbeef
Request 00000df4 deadbeef
Request 00000df8 deadbeef
Request 00000dfc deadbeef
Request 00000e00 deadbeef
Request 00000e04 deadbeef
Request 00000e08 deadbeef
Request 00000e0c deadbeef
Request 00000e10 deadbeef
Request 00000e14 deadbeef
Request 00000e18 deadbeef
Request 00000e1c deadbeef
Request 00000e20 deadbeef
Request 00000e24 deadbeef
Request 00000e28 deadbeef
Request 00000e2c deadbeef
Request 00000e30 deadbeef
Request 00000e34 deadbeef
Request 00000e38 deadbeef
Request 00000e3c deadbeef
Request 00000e40 deadbeef
Request 00000e44 deadbeef
Request 00000e48 deadbeef
Request 00000e4c deadbeef
Request 00000e50 deadbeef
Request 00000e54 deadbeef
Request 00000e58 deadbeef
Request 00000e5c deadbeef
Request 00000e60 deadbeef
Request 00000e64 deadbeef
Request 00000e68 deadbeef
Request 00000e6c deadbeef
Request 00000e70 deadbeef
Request 00000e74 deadbeef
Request 00000e78 deadbeef
Request 00000e7c deadbeef
Request 00000e80 deadbeef
Request 00000e84 deadbeef
Request 00000e88 deadbeef
Request 00000e8c deadbeef
Request 00000e90 deadbeef
Request 00000e94 deadbeef
Request 00000e98 deadbeef
Request 00000e9c deadbeef
Request 00000ea0 deadbeef
Request 00000ea4 deadbeef
Request 00000ea8 deadbeef
Request 00000eac deadbeef
Request 00000eb0 deadbeef
Request 00000eb4 deadbeef
Request 00000eb8 deadbeef
Request 00000ebc deadbeef
Request 00000ec0 deadbeef
Request 00000ec4 deadbeef
Request 00000ec8 deadbeef
Request 00000ecc deadbeef
Request 00000ed0 deadbeef
Request 00000ed4 deadbeef
Request 00000ed8 deadbeef
Request 00000edc deadbeef
Request 00000ee0 deadbeef
Request 00000ee4 deadbeef
Request 00000ee8 deadbeef
Request 00000eec deadbeef
Request 00000ef0 deadbeef
Request 00000ef4 deadbeef
Request 00000ef8 deadbeef
Request 00000efc deadbeef
Request 00000f00 deadbeef
Request 00000f04 deadbeef
Request 00000f08 deadbeef
Request 00000f0c deadbeef
Request 00000f10 deadbeef
Request 00000f14 deadbeef
Request 00000f18 deadbeef
Request 00000f1c deadbeef
Request 00000f20 deadbeef
Request 00000f24 deadbeef
Request 00000f28 deadbeef
Request 00000f2c deadbeef
Request 00000f30 deadbeef
Request 00000f34 deadbeef
Request 00000f38 deadbeef
Request 00000f3c deadbeef
Request 00000f40 deadbeef
Request 00000f44 deadbeef
Request 00000f48 deadbeef
Request 00000f4c deadbeef
Request 00000f50 deadbeef
Request 00000f54 deadbeef
Request 00000f58 deadbeef
Request 00000f5c deadbeef
Request 00000f60 deadbeef
Request 00000f64 deadbeef
Request 00000f68 deadbeef
Request 00000f6c deadbeef
Request 00000f70 deadbeef
Request 00000f74 deadbeef
Request 00000f78 deadbeef
Request 00000f7c deadbeef
Request 00000f80 deadbeef
Request 00000f84 deadbeef
Request 00000f88 deadbeef
Request 00000f8c deadbeef
Request 00000f90 deadbeef
Request 00000f94 deadbeef
Request 00000f98 deadbeef
Request 00000f9c deadbeef
Request 00000fa0 deadbeef
Request 00000fa4 deadbeef
Request 00000fa8 deadbeef
Request 00000fac deadbeef
Request 00000fb0 deadbeef
Request 00000fb4 deadbeef
Request 00000fb8 deadbeef
Request 00000fbc deadbeef
Request 00000fc0 deadbeef
Request 00000fc4 deadbeef
Request 00000fc8 deadbeef
Request 00000fcc deadbeef
Request 00000fd0 deadbeef
Request 00000fd4 deadbeef
Request 00000fd8 deadbeef
Request 00000fdc deadbeef
Request 00000fe0 deadbeef
Request 00000fe4 deadbeef
Request 00000fe8 deadbeef
Request 00000fec deadbeef
Request 00000ff0 deadbeef
Request 00000ff4 deadbeef
Request 00000ff8 deadbeef
Request 00000ffc deadbeef
Request 00001000 deadbeef
Request 00001004 deadbeef
Request 00001008 deadbeef
Request 0000100c deadbeef
Request 00001010 deadbeef
Request 00001014 deadbeef
Request 00001018 deadbeef
Request 0000101c deadbeef
Request 00001020 deadbeef
Request 00001024 deadbeef
